Rank,Time,Athlete,Year,Event,Gender
1039,35.3,Slaney,1982,10000m,Female
1507,48.23,Domoradskaya,1982,10000m,Female
1789,55.02,Sadreydinova,1982,10000m,Female
1921,57.0,Zakharova,1982,10000m,Female
2340,4.88,Baranova,1982,10000m,Female
829,27.58,Sadreydinova,1983,10000m,Female
1028,35.01,Baranova,1983,10000m,Female
1046,35.61,Bondarenko,1983,10000m,Female
1135,38.64,Bondarenko,1983,10000m,Female
1545,48.94,Pozdnyakova,1983,10000m,Female
1563,49.44,Bondarenko,1983,10000m,Female
1703,52.85,Cunha,1983,10000m,Female
2104,0.26,Teske,1983,10000m,Female
2232,2.89,Rasmussen,1983,10000m,Female
555,13.78,Bondarenko,1984,10000m,Female
579,15.0,Zakharova,1984,10000m,Female
1731,53.53,Tursunova,1984,10000m,Female
1856,56.01,Konyukhova,1984,10000m,Female
1859,56.02,Domoradskaya,1984,10000m,Female
2077,59.7,Smekhnova,1984,10000m,Female
2493,7.41,Benoit USA,1984,10000m,Female
346,59.42,Kristiansen,1985,10000m,Female
777,25.18,Bondarenko,1985,10000m,Female
1041,35.46,Cunha,1985,10000m,Female
1475,47.38,Bondarenko,1985,10000m,Female
1965,57.8,Guskova,1985,10000m,Female
2256,3.37,Jennings,1985,10000m,Female
2502,7.5,Cunha,1985,10000m,Female
57,13.74,Kristiansen,1986,10000m,Female
81,23.25,Kristiansen,1986,10000m,Female
319,57.21,Bondarenko,1986,10000m,Female
663,19.76,Bruns,1986,10000m,Female
875,29.41,Cunha,1986,10000m,Female
1163,39.35,Cunha,1986,10000m,Female
1243,41.42,McColgan,1986,10000m,Female
1278,42.43,Guskova,1986,10000m,Female
1297,42.99,Vyazova,1986,10000m,Female
1565,49.46,McColgan,1986,10000m,Female
1720,53.31,Audain,1986,10000m,Female
1846,55.93,Szabo,1986,10000m,Female
1893,56.66,Guskova,1986,10000m,Female
1895,56.69,Tooby,1986,10000m,Female
1921,57.0,Vyazova,1986,10000m,Female
2309,4.34,Curatolo,1986,10000m,Female
2425,6.38,Sorokivskaya,1986,10000m,Female
2512,7.64,Szabo,1986,10000m,Female
422,5.85,Kristiansen,1987,10000m,Female
477,9.4,Vyazova,1987,10000m,Female
515,11.34,Weßel,1987,10000m,Female
590,15.66,Kristiansen,1987,10000m,Female
636,18.38,Bondarenko,1987,10000m,Female
664,19.82,McColgan,1987,10000m,Female
817,27.0,Xiuting,1987,10000m,Female
839,27.99,Juhua,1987,10000m,Female
1031,35.16,Bondarenko,1987,10000m,Female
1362,44.73,Qinghuan,1987,10000m,Female
1397,45.43,Jennings,1987,10000m,Female
1447,46.61,Albertina Machado,1987,10000m,Female
1537,48.88,Xiuting,1987,10000m,Female
1805,55.3,Tooby,1987,10000m,Female
1904,56.8,Preßler,1987,10000m,Female
1950,57.56,Audain,1987,10000m,Female
2137,1.05,Weßel,1987,10000m,Female
2400,5.93,Vyazova,1987,10000m,Female
2476,7.17,Lee,1987,10000m,Female
2500,7.49,Oppliger,1987,10000m,Female
414,5.21,Bondarenko,1988,10000m,Female
441,6.99,McColgan,1988,10000m,Female
462,8.44,McColgan,1988,10000m,Female
664,19.82,Vyazova,1988,10000m,Female
811,26.79,Weßel,1988,10000m,Female
871,29.27,Weßel,1988,10000m,Female
926,31.37,Kristiansen,1988,10000m,Female
1045,35.52,Larrieu-Smith,1988,10000m,Female
1112,38.02,Matveyeva,1988,10000m,Female
1134,38.63,Bondarenko,1988,10000m,Female
1189,39.93,Jennings,1988,10000m,Female
1201,40.23,Xiuting,1988,10000m,Female
1221,40.88,Vyazova,1988,10000m,Female
1269,42.02,Khramenkova,1988,10000m,Female
1287,42.8,Lehane,1988,10000m,Female
1361,44.69,Kristiansen,1988,10000m,Female
1436,46.43,Sorokivskaya,1988,10000m,Female
1450,46.72,Bondarenko,1988,10000m,Female
1485,47.67,Bondarenko,1988,10000m,Female
1496,47.99,Vyazova,1988,10000m,Female
1528,48.63,Vyazova,1988,10000m,Female
1573,49.6,Sorokivskaya,1988,10000m,Female
1612,50.51,Lee,1988,10000m,Female
1638,51.27,Nelson,1988,10000m,Female
1645,51.4,Weßel,1988,10000m,Female
1647,51.42,Lee,1988,10000m,Female
1667,52.02,Larrieu-Smith,1988,10000m,Female
1669,52.04,Manuela Machado,1988,10000m,Female
1723,53.36,Sly,1988,10000m,Female
1829,55.67,Qingmei,1988,10000m,Female
1868,56.33,Artyomova,1988,10000m,Female
2195,2.13,Albertina Machado,1988,10000m,Female
2202,2.21,Xiuting,1988,10000m,Female
2274,3.63,Larrieu-Smith,1988,10000m,Female
2320,4.52,Qinghuan,1988,10000m,Female
2335,4.78,Sergent,1988,10000m,Female
2396,5.88,Audain,1988,10000m,Female
2413,6.14,Murphy,1988,10000m,Female
2456,6.76,Munerotto,1988,10000m,Female
2474,7.13,Albertina Dias,1988,10000m,Female
2522,7.74,Jennings,1988,10000m,Female
2556,8.32,Wästlund,1988,10000m,Female
2593,9.08,Rouillard,1988,10000m,Female
236,48.51,Kristiansen,1989,10000m,Female
1007,33.92,Weßel,1989,10000m,Female
1267,42.01,Kristiansen,1989,10000m,Female
1436,46.43,Ghican,1989,10000m,Female
1672,52.09,Biba-Pöschl,1989,10000m,Female
1748,54.0,Matsuno,1989,10000m,Female
2098,0.17,Audain,1989,10000m,Female
2440,6.51,Conceição Ferreira,1989,10000m,Female
2536,7.95,Albertina Dias,1989,10000m,Female
633,18.18,Ghican,1990,10000m,Female
1222,40.92,Pippig,1990,10000m,Female
1407,45.75,Conceição Ferreira,1990,10000m,Female
1452,46.83,Romanova,1990,10000m,Female
1487,47.7,Weßel,1990,10000m,Female
1629,50.98,Huandi,1990,10000m,Female
1654,51.68,Sergent,1990,10000m,Female
1676,52.18,Xiuting,1990,10000m,Female
1818,55.51,Preßler,1990,10000m,Female
1839,55.8,Hunter,1990,10000m,Female
1916,56.93,Matsuno,1990,10000m,Female
1932,57.15,Hamrin,1990,10000m,Female
1950,57.56,Tikkanen,1990,10000m,Female
1997,58.25,Hamrin,1990,10000m,Female
2142,1.17,Panfil,1990,10000m,Female
2207,2.37,Dandolo,1990,10000m,Female
2244,3.07,Galyamova,1990,10000m,Female
2366,5.4,O'Brien,1990,10000m,Female
2387,5.76,Nazarkina,1990,10000m,Female
2404,6.01,Panfil,1990,10000m,Female
2421,6.3,Matsuno,1990,10000m,Female
2428,6.41,Tolstoguzova,1990,10000m,Female
317,57.07,McColgan,1991,10000m,Female
386,3.62,Weßel,1991,10000m,Female
449,7.88,Hunter,1991,10000m,Female
569,14.31,McColgan,1991,10000m,Female
680,20.28,Kristiansen,1991,10000m,Female
866,28.92,Larrieu-Smith,1991,10000m,Female
994,33.46,Meyer RSA,1991,10000m,Female
1029,35.08,Huandi,1991,10000m,Female
1059,35.99,Xiuting,1991,10000m,Female
1151,38.96,Weßel,1991,10000m,Female
1214,40.56,Asiago,1991,10000m,Female
1418,45.95,Tulu,1991,10000m,Female
1421,46.0,Weßel,1991,10000m,Female
1601,50.36,Kristiansen,1991,10000m,Female
1643,51.36,Pippig,1991,10000m,Female
1650,51.47,Conceição Ferreira,1991,10000m,Female
1698,52.58,Olteanu,1991,10000m,Female
1714,53.13,Xiuting,1991,10000m,Female
1718,53.27,Xiuting,1991,10000m,Female
1744,53.83,Panfil,1991,10000m,Female
1752,54.05,Weßel,1991,10000m,Female
1764,54.44,Jennings,1991,10000m,Female
1777,54.67,McColgan,1991,10000m,Female
1787,54.95,Schuwalow,1991,10000m,Female
1821,55.55,Hunter,1991,10000m,Female
1832,55.68,Pippig,1991,10000m,Female
1849,55.97,Sergent,1991,10000m,Female
1869,56.35,Lund,1991,10000m,Female
1874,56.42,Yisak,1991,10000m,Female
1881,56.52,Jennings,1991,10000m,Female
1898,56.74,Rouillard,1991,10000m,Female
1934,57.23,Maki,1991,10000m,Female
1970,57.84,Maki,1991,10000m,Female
2030,58.82,Huandi,1991,10000m,Female
2050,59.13,Conceição Ferreira,1991,10000m,Female
2100,0.24,Pozdnyakova,1991,10000m,Female
2105,0.27,Yongmei,1991,10000m,Female
2123,0.76,Pippig,1991,10000m,Female
2133,1.04,Igarashi,1991,10000m,Female
2277,3.76,Albertina Dias,1991,10000m,Female
2322,4.53,Asiago,1991,10000m,Female
2371,5.47,Hobson,1991,10000m,Female
2386,5.75,Munerotto,1991,10000m,Female
2447,6.67,Tikkanen,1991,10000m,Female
2453,6.73,Romanova,1991,10000m,Female
2565,8.54,Ngotho,1991,10000m,Female
2578,8.74,Tulu,1991,10000m,Female
2599,9.13,Ohier,1991,10000m,Female
2617,9.38,Ngotho,1991,10000m,Female
2619,9.43,Asiago,1991,10000m,Female
2640,9.7,Conceição Ferreira,1991,10000m,Female
2642,9.71,Asiago,1991,10000m,Female
425,6.02,Tulu,1992,10000m,Female
520,11.72,Ondieki,1992,10000m,Female
521,11.75,Meyer,1992,10000m,Female
601,16.42,Conceição Ferreira,1992,10000m,Female
670,19.89,Jennings,1992,10000m,Female
688,20.62,Weßel,1992,10000m,Female
695,21.08,Huandi,1992,10000m,Female
703,21.36,Pippig,1992,10000m,Female
800,26.11,McColgan,1992,10000m,Female
840,28.06,Xiuting,1992,10000m,Female
955,32.25,Tulu ETH 21.03.72,1992,10000m,Female
1074,36.45,Pippig,1992,10000m,Female
1116,38.04,St. Hilaire,1992,10000m,Female
1147,38.91,Kimaiyo,1992,10000m,Female
1207,40.38,Maki,1992,10000m,Female
1228,41.09,Cheromei KEN 11.05.77,1992,10000m,Female
1280,42.53,Collard,1992,10000m,Female
1285,42.7,Albertina Dias,1992,10000m,Female
1288,42.83,Murcia,1992,10000m,Female
1320,43.36,Slegers,1992,10000m,Female
1329,43.55,Toonstra,1992,10000m,Female
1375,45.02,Tikkanen,1992,10000m,Female
1403,45.58,Meyer RSA,1992,10000m,Female
1441,46.49,Hunter,1992,10000m,Female
1475,47.38,Toonstra,1992,10000m,Female
1574,49.71,Moreda,1992,10000m,Female
1590,50.1,Kimaiyo,1992,10000m,Female
1793,55.06,Maki,1992,10000m,Female
1827,55.66,Marques,1992,10000m,Female
1829,55.67,Tulu,1992,10000m,Female
1839,55.8,Biba-Pöschl,1992,10000m,Female
1937,57.24,Asiago,1992,10000m,Female
2019,58.63,Kimaiyo,1992,10000m,Female
2212,2.41,Suzuki,1992,10000m,Female
2279,3.78,Fujiwara,1992,10000m,Female
2288,3.93,Albertina Dias,1992,10000m,Female
2289,3.95,Maki,1992,10000m,Female
2314,4.4,Fumoto,1992,10000m,Female
2319,4.46,Huandi,1992,10000m,Female
2327,4.6,Araki,1992,10000m,Female
2370,5.45,Meyer,1992,10000m,Female
2435,6.45,Rasmussen,1992,10000m,Female
2466,6.98,Marques,1992,10000m,Female
2480,7.25,McColgan,1992,10000m,Female
2485,7.28,Pippig,1992,10000m,Female
2487,7.29,Fumoto,1992,10000m,Female
2495,7.42,Toonstra,1992,10000m,Female
2532,7.91,Maki,1992,10000m,Female
2538,8.0,Igarashi,1992,10000m,Female
2578,8.74,Maki,1992,10000m,Female
2633,9.58,Igarashi,1992,10000m,Female
2634,9.6,Appell,1992,10000m,Female
2635,9.64,Preßler,1992,10000m,Female
2652,9.87,Vyazova,1992,10000m,Female
9,31.78,Junxia,1993,10000m,Female
56,13.37,Huandi,1993,10000m,Female
244,49.3,Junxia,1993,10000m,Female
461,8.42,Junxia,1993,10000m,Female
473,9.25,Lirong,1993,10000m,Female
498,10.46,Liyan,1993,10000m,Female
529,12.55,Huandi,1993,10000m,Female
585,15.38,Barsosio,1993,10000m,Female
598,16.28,Linli,1993,10000m,Female
697,21.2,Loroupe,1993,10000m,Female
752,23.92,Jingying,1993,10000m,Female
863,28.83,Li,1993,10000m,Female
885,29.7,Pippig,1993,10000m,Female
890,29.91,Loroupe,1993,10000m,Female
902,30.53,Jennings,1993,10000m,Female
904,30.6,Conceição Ferreira,1993,10000m,Female
928,31.54,Yongmei,1993,10000m,Female
946,32.15,Wenhui,1993,10000m,Female
953,32.23,Xiuting,1993,10000m,Female
965,32.5,Yanfang,1993,10000m,Female
980,33.03,Albertina Dias,1993,10000m,Female
1021,34.82,Conceição Ferreira,1993,10000m,Female
1097,37.26,Marie Lauck,1993,10000m,Female
1190,39.97,Pippig,1993,10000m,Female
1212,40.51,Ribeiro,1993,10000m,Female
1358,44.57,Albertina Dias,1993,10000m,Female
1459,46.98,Ribeiro,1993,10000m,Female
1488,47.76,de Oliveira,1993,10000m,Female
1495,47.9,Conceição Ferreira,1993,10000m,Female
1603,50.39,Dongmei,1993,10000m,Female
1699,52.59,Li,1993,10000m,Female
1969,57.83,Jennings,1993,10000m,Female
2107,0.37,Marie Lauck,1993,10000m,Female
2115,0.52,Weßel,1993,10000m,Female
2213,2.44,Bondarenko,1993,10000m,Female
2363,5.33,Lokar,1993,10000m,Female
2477,7.19,van Blunk,1993,10000m,Female
2570,8.6,Murgoci,1993,10000m,Female
2576,8.72,de Oliveira,1993,10000m,Female
2621,9.46,Ilyina,1993,10000m,Female
2640,9.7,Loroupe,1993,10000m,Female
2659,9.94,Ningning,1993,10000m,Female
254,50.34,Junxia,1994,10000m,Female
275,52.51,Meyer,1994,10000m,Female
396,4.25,Ribeiro,1994,10000m,Female
466,8.75,Ribeiro,1994,10000m,Female
652,19.11,McKiernan,1994,10000m,Female
918,31.08,Li,1994,10000m,Female
945,32.11,Conceição Ferreira,1994,10000m,Female
975,32.82,Conceição Ferreira,1994,10000m,Female
1058,35.96,Nauer,1994,10000m,Female
1121,38.17,Junxia,1994,10000m,Female
1142,38.75,Weßel,1994,10000m,Female
1226,41.03,Misaros,1994,10000m,Female
1274,42.14,Guida,1994,10000m,Female
1334,43.69,Huandi,1994,10000m,Female
1410,45.82,Igarashi,1994,10000m,Female
1464,47.11,Ondieki,1994,10000m,Female
1543,48.93,Tulu,1994,10000m,Female
1579,49.87,Li,1994,10000m,Female
1684,52.39,Loroupe KEN,1994,10000m,Female
1713,53.12,Marques,1994,10000m,Female
1776,54.65,Conceição Ferreira,1994,10000m,Female
1851,55.99,Kashapova,1994,10000m,Female
1876,56.45,Huandi,1994,10000m,Female
1920,56.97,Murray,1994,10000m,Female
2158,1.57,Hara,1994,10000m,Female
2172,1.8,Marques,1994,10000m,Female
2181,1.91,Kataoka,1994,10000m,Female
2235,2.95,Yoshida,1994,10000m,Female
2262,3.42,Appell,1994,10000m,Female
2367,5.42,Kashapova RUS,1994,10000m,Female
2405,6.02,Meyer,1994,10000m,Female
2430,6.42,Suzuki,1994,10000m,Female
2513,7.65,Igarashi,1994,10000m,Female
2562,8.51,Muranaka,1994,10000m,Female
2578,8.74,Lokar,1994,10000m,Female
2586,8.77,Coogan USA,1994,10000m,Female
2594,9.1,Manuela Machado,1994,10000m,Female
411,4.99,Ribeiro,1995,10000m,Female
453,8.1,Tulu,1995,10000m,Female
460,8.41,McKiernan IRL,1995,10000m,Female
622,17.66,Loroupe,1995,10000m,Female
739,23.24,Junxia,1995,10000m,Female
753,23.96,Meyer,1995,10000m,Female
829,27.58,Tulu,1995,10000m,Female
835,27.82,Guida,1995,10000m,Female
919,31.12,Kataoka,1995,10000m,Female
933,31.87,Meyer RSA,1995,10000m,Female
938,31.96,Meyer,1995,10000m,Female
1117,38.07,Junxia,1995,10000m,Female
1198,40.14,McColgan,1995,10000m,Female
1265,41.91,Tulu ETH,1995,10000m,Female
1322,43.41,Suzuki,1995,10000m,Female
1335,43.7,Chiba,1995,10000m,Female
1354,44.38,Peters,1995,10000m,Female
1398,45.46,Kataoka,1995,10000m,Female
1406,45.74,Loroupe,1995,10000m,Female
1429,46.31,Albertina Dias,1995,10000m,Female
1488,47.76,Kimura,1995,10000m,Female
1518,48.39,Siju,1995,10000m,Female
1675,52.15,Zhilyayeva,1995,10000m,Female
1750,54.01,Suzuki,1995,10000m,Female
1759,54.29,Sandell,1995,10000m,Female
1791,55.04,Weßel,1995,10000m,Female
1933,57.19,Jennings,1995,10000m,Female
1944,57.43,Albertina Dias POR,1995,10000m,Female
1976,57.9,Lokar,1995,10000m,Female
2145,1.23,Conceição Ferreira POR,1995,10000m,Female
2163,1.68,Carroll,1995,10000m,Female
2168,1.75,Guida ITA,1995,10000m,Female
2180,1.88,Yoshida,1995,10000m,Female
2234,2.94,Adere ETH,1995,10000m,Female
2255,3.35,Hiroyama,1995,10000m,Female
2304,4.27,Wanjiru,1995,10000m,Female
2310,4.37,Sakashita,1995,10000m,Female
2317,4.42,Yanmei,1995,10000m,Female
2362,5.32,Henes,1995,10000m,Female
2425,6.38,Chiba,1995,10000m,Female
2439,6.5,Albertina Dias,1995,10000m,Female
2497,7.43,Marie Lauck,1995,10000m,Female
2591,8.97,Takahashi,1995,10000m,Female
2643,9.76,Okamoto,1995,10000m,Female
363,1.63,Ribeiro,1996,10000m,Female
365,1.76,Junxia,1996,10000m,Female
371,2.58,Junxia,1996,10000m,Female
434,6.65,Wami,1996,10000m,Female
498,10.46,Tulu,1996,10000m,Female
518,11.59,Junxia,1996,10000m,Female
544,13.21,Xiujuan,1996,10000m,Female
656,19.4,Suzuki,1996,10000m,Female
678,20.19,Kawakami,1996,10000m,Female
683,20.46,Chiba,1996,10000m,Female
688,20.62,Chiba,1996,10000m,Female
737,23.22,Loroupe,1996,10000m,Female
738,23.23,Kawakami,1996,10000m,Female
757,24.08,Vaquero,1996,10000m,Female
804,26.46,Olteanu,1996,10000m,Female
819,27.07,Vaquero,1996,10000m,Female
843,28.15,Chiba,1996,10000m,Female
923,31.14,Mingxia,1996,10000m,Female
997,33.51,Ribeiro,1996,10000m,Female
1055,35.9,Tulu,1996,10000m,Female
1060,36.0,Barsosio,1996,10000m,Female
1067,36.32,Ribeiro,1996,10000m,Female
1090,37.03,Chiba,1996,10000m,Female
1200,40.16,Olteanu,1996,10000m,Female
1209,40.42,Sandell,1996,10000m,Female
1342,43.99,Hiroyama,1996,10000m,Female
1369,44.86,Hiroyama,1996,10000m,Female
1507,48.23,Takahashi,1996,10000m,Female
1646,51.41,Weßel,1996,10000m,Female
1656,51.71,Risk,1996,10000m,Female
1694,52.54,Kawakami,1996,10000m,Female
1723,53.36,Fernández,1996,10000m,Female
1725,53.38,Barsosio,1996,10000m,Female
1727,53.4,Sakashita,1996,10000m,Female
1732,53.55,Guida,1996,10000m,Female
1751,54.03,Mosqueda,1996,10000m,Female
1768,54.57,Hobson,1996,10000m,Female
1785,54.89,Suzuki,1996,10000m,Female
1809,55.35,Guida,1996,10000m,Female
1852,56.0,de Reuck RSA,1996,10000m,Female
1866,56.3,Albertina Dias,1996,10000m,Female
1981,57.95,Li,1996,10000m,Female
2019,58.63,Fatès,1996,10000m,Female
2031,58.84,Petrova,1996,10000m,Female
2032,58.86,Wanjiru,1996,10000m,Female
2048,59.12,Siju,1996,10000m,Female
2096,0.11,Rios,1996,10000m,Female
2101,0.25,Olteanu ROU,1996,10000m,Female
2109,0.38,McKiernan,1996,10000m,Female
2155,1.51,Wanjiru,1996,10000m,Female
2204,2.28,Painter,1996,10000m,Female
2218,2.55,Renders BEL,1996,10000m,Female
2230,2.81,Takahashi,1996,10000m,Female
2344,4.96,Mazovka,1996,10000m,Female
2379,5.64,Marie Lauck,1996,10000m,Female
2467,6.99,Dällenbach FRA,1996,10000m,Female
2468,7.0,Zhaoxia,1996,10000m,Female
2471,7.01,Muranaka,1996,10000m,Female
2519,7.7,Petrova,1996,10000m,Female
2582,8.75,Xiaoxia,1996,10000m,Female
2583,8.76,Jeitziner,1996,10000m,Female
2597,9.12,Sakashita,1996,10000m,Female
2623,9.49,Ura,1996,10000m,Female
160,38.09,Yanmei,1997,10000m,Female
168,39.41,Lixin,1997,10000m,Female
174,39.98,Lili,1997,10000m,Female
220,47.22,Zhaoxia,1997,10000m,Female
227,47.72,Dongmei,1997,10000m,Female
307,55.83,Shixiang,1997,10000m,Female
514,11.26,Liqing,1997,10000m,Female
532,12.58,Mingxia,1997,10000m,Female
571,14.51,Vaquero,1997,10000m,Female
600,16.39,Siju,1997,10000m,Female
685,20.53,Loroupe,1997,10000m,Female
727,22.72,Hiroyama,1997,10000m,Female
809,26.67,Kawakami,1997,10000m,Female
842,28.12,Carroll,1997,10000m,Female
864,28.86,Suzuki,1997,10000m,Female
912,30.89,Peters,1997,10000m,Female
932,31.85,Chiba,1997,10000m,Female
978,32.92,Barsosio,1997,10000m,Female
1001,33.69,Chiba,1997,10000m,Female
1127,38.42,Takahashi,1997,10000m,Female
1143,38.76,Loroupe,1997,10000m,Female
1149,38.94,Sommaggio,1997,10000m,Female
1156,39.15,Ribeiro,1997,10000m,Female
1266,41.93,Chiba,1997,10000m,Female
1546,48.95,Adere,1997,10000m,Female
1563,49.44,Chiba,1997,10000m,Female
1618,50.63,Xiujuan,1997,10000m,Female
1689,52.44,Wanjiru,1997,10000m,Female
1743,53.82,Carroll,1997,10000m,Female
1746,53.92,Takahashi,1997,10000m,Female
1796,55.11,Tanaka,1997,10000m,Female
1802,55.19,Masudo,1997,10000m,Female
1849,55.97,Biba-Pöschl,1997,10000m,Female
1900,56.77,Loroupe,1997,10000m,Female
1925,57.02,Ueoka,1997,10000m,Female
1975,57.87,Renders,1997,10000m,Female
1979,57.94,Masudo,1997,10000m,Female
2027,58.77,Morigaki,1997,10000m,Female
2085,59.93,Yanfang,1997,10000m,Female
2128,0.93,Loroupe,1997,10000m,Female
2156,1.52,Katayama,1997,10000m,Female
2161,1.61,Siju,1997,10000m,Female
2271,3.6,Gherasim,1997,10000m,Female
2271,3.6,Wassiluk,1997,10000m,Female
2282,3.81,de Reuck,1997,10000m,Female
2359,5.29,Adere,1997,10000m,Female
2380,5.65,Ribeiro,1997,10000m,Female
2381,5.68,Barsosio,1997,10000m,Female
2385,5.73,Wami,1997,10000m,Female
2387,5.76,Chiba,1997,10000m,Female
2412,6.12,Siju,1997,10000m,Female
2615,9.37,Malot,1997,10000m,Female
2631,9.56,de Reuck,1997,10000m,Female
2661,9.95,Bastos,1997,10000m,Female
231,48.06,Ribeiro,1998,10000m,Female
237,48.58,Radcliffe,1998,10000m,Female
828,27.57,Takahashi,1998,10000m,Female
872,29.33,O'Sullivan,1998,10000m,Female
961,32.42,Ribeiro,1998,10000m,Female
972,32.64,Simon,1998,10000m,Female
1013,34.26,Jevtic,1998,10000m,Female
1077,36.51,Radcliffe,1998,10000m,Female
1163,39.35,Kawakami,1998,10000m,Female
1375,45.02,Zhilyayeva,1998,10000m,Female
1439,46.47,Vaquero,1998,10000m,Female
1708,52.98,Wanjiru,1998,10000m,Female
1721,53.35,Tanaka,1998,10000m,Female
1987,57.99,Takahashi,1998,10000m,Female
2147,1.25,Kawakami,1998,10000m,Female
2169,1.76,Wakamatsu,1998,10000m,Female
2172,1.8,Renders,1998,10000m,Female
2299,4.09,Oshima,1998,10000m,Female
2329,4.64,Malot,1998,10000m,Female
2341,4.89,Denboba,1998,10000m,Female
2346,5.02,Ichikawa,1998,10000m,Female
2373,5.49,Kawakami,1998,10000m,Female
2430,6.42,Adere,1998,10000m,Female
2500,7.49,Zhaoxia,1998,10000m,Female
2523,7.76,Kawakami,1998,10000m,Female
2537,7.98,Kojima,1998,10000m,Female
2542,8.01,Takahashi,1998,10000m,Female
88,24.56,Wami,1999,10000m,Female
106,27.13,Radcliffe,1999,10000m,Female
126,32.03,Loroupe,1999,10000m,Female
177,40.7,Radcliffe,1999,10000m,Female
813,26.84,Hiroyama,1999,10000m,Female
831,27.62,Takahashi,1999,10000m,Female
931,31.73,Malot KEN,1999,10000m,Female
940,32.02,Joseph TAN,1999,10000m,Female
942,32.06,Hashim,1999,10000m,Female
967,32.51,Adere,1999,10000m,Female
971,32.63,Denboba ETH,1999,10000m,Female
1024,34.84,Adere ETH,1999,10000m,Female
1068,36.33,Malot,1999,10000m,Female
1102,37.62,Denboba,1999,10000m,Female
1112,38.02,Chiba JPN,1999,10000m,Female
1137,38.68,Mikitenko,1999,10000m,Female
1169,39.52,Dias,1999,10000m,Female
1175,39.69,Hashim,1999,10000m,Female
1210,40.43,Adere,1999,10000m,Female
1240,41.33,Hickman,1999,10000m,Female
1242,41.38,Bastos,1999,10000m,Female
1256,41.71,Takahashi,1999,10000m,Female
1301,43.01,Kawakami,1999,10000m,Female
1311,43.22,Sampaio,1999,10000m,Female
1325,43.5,Marie Lauck,1999,10000m,Female
1341,43.8,Recio,1999,10000m,Female
1401,45.53,Sandell,1999,10000m,Female
1470,47.26,Takahashi,1999,10000m,Female
1511,48.28,Gherasim,1999,10000m,Female
1605,50.4,Guida,1999,10000m,Female
1636,51.21,Renders,1999,10000m,Female
1725,53.38,Bitzner-Ducret,1999,10000m,Female
1795,55.08,Wakamatsu,1999,10000m,Female
1847,55.94,McCann,1999,10000m,Female
1902,56.78,Moser-Rochat,1999,10000m,Female
1917,56.94,Chiba,1999,10000m,Female
1957,57.67,Jevtic,1999,10000m,Female
1990,58.05,Ozaki,1999,10000m,Female
2035,58.9,Risk,1999,10000m,Female
2074,59.63,Sommaggio,1999,10000m,Female
2119,0.72,Kastor,1999,10000m,Female
2130,0.95,Pana,1999,10000m,Female
2189,2.06,Wanjiru,1999,10000m,Female
2200,2.2,Timbilil,1999,10000m,Female
2369,5.44,Viceconte,1999,10000m,Female
2383,5.71,Kawakami,1999,10000m,Female
2483,7.26,Yamaguchi,1999,10000m,Female
2502,7.5,Chepchumba,1999,10000m,Female
2538,8.0,Hiroyama,1999,10000m,Female
2551,8.15,Wami,1999,10000m,Female
2664,9.97,Kawakami,1999,10000m,Female
62,17.49,Tulu,2000,10000m,Female
77,22.48,Wami,2000,10000m,Female
79,22.88,Ribeiro,2000,10000m,Female
104,26.97,Radcliffe,2000,10000m,Female
153,37.26,Loroupe,2000,10000m,Female
263,51.3,Adere,2000,10000m,Female
282,53.37,O'Sullivan,2000,10000m,Female
311,56.4,Tulu,2000,10000m,Female
325,57.7,Malot,2000,10000m,Female
350,59.92,Hashim,2000,10000m,Female
385,3.6,Renders,2000,10000m,Female
419,5.57,Viceconte,2000,10000m,Female
440,6.94,Ji,2000,10000m,Female
458,8.27,Tulu,2000,10000m,Female
480,9.46,Kawakami,2000,10000m,Female
491,10.12,Fernández,2000,10000m,Female
573,14.7,Meyer,2000,10000m,Female
701,21.27,Grigoryeva,2000,10000m,Female
759,24.12,Sommaggio,2000,10000m,Female
767,24.36,Ribeiro,2000,10000m,Female
825,27.44,Kawakami,2000,10000m,Female
837,27.86,Prokopcuka,2000,10000m,Female
881,29.65,Jevtic,2000,10000m,Female
882,29.66,Bogomalova,2000,10000m,Female
910,30.83,Grigoryeva,2000,10000m,Female
999,33.58,Biktasheva,2000,10000m,Female
1072,36.4,Loroupe,2000,10000m,Female
1198,40.14,Timofeyeva,2000,10000m,Female
1213,40.52,Adere,2000,10000m,Female
1229,41.1,Meyer,2000,10000m,Female
1304,43.07,O'Sullivan,2000,10000m,Female
1316,43.28,Denboba,2000,10000m,Female
1317,43.29,Yvelain,2000,10000m,Female
1352,44.3,Recio,2000,10000m,Female
1435,46.4,González,2000,10000m,Female
1463,47.1,Biktasheva,2000,10000m,Female
1471,47.28,Kawakami,2000,10000m,Female
1473,47.32,Meyer,2000,10000m,Female
1493,47.89,Haugen,2000,10000m,Female
1526,48.6,Kuma,2000,10000m,Female
1538,48.89,Shibui,2000,10000m,Female
1598,50.22,Timbilil,2000,10000m,Female
1613,50.53,Matsuoka,2000,10000m,Female
1623,50.89,Ominami,2000,10000m,Female
1631,51.05,Kastor,2000,10000m,Female
1678,52.2,Wassiluk,2000,10000m,Female
1690,52.45,Matsuoka,2000,10000m,Female
1693,52.5,Matsuoka,2000,10000m,Female
1699,52.59,Takahashi,2000,10000m,Female
1702,52.75,Petrova,2000,10000m,Female
1766,54.46,Takemoto,2000,10000m,Female
